en,it,pos,description
tab,scheda,noun,"Altre traduzioni possibili:
Tabulazione (quando riferito alla spaziatura)
Tab (invariato, quando riferito al tasto Tab)"
"table of contents",indice,expression,"In base al contesto può essere anche ""sommario"", ad esempio il sommario di una rivista, di un giornale."
tag,tag,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
tag,tagga,verb,
tagline,motto,noun,"Utilizzare ""descrizione"" quando è così intesa."
taxonomy,tassonomia,noun,
team,team,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
template,template,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
"template hierarchy","gerarchia di template",expression,
templates,template,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
term,termine,noun,
"text area","area di testo",expression,
"text editor","editor di testo",expression,
"text input","campo di testo",expression,
theme,tema,noun,
thin,sottile,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 100."
thumbnail,miniatura,noun,
timeline,timeline,noun,"Lasciare invariato. Declinare al femminile. In italiano non si riportano le s del plurale."
toggle,attiva/disattiva,verb,"ALTRA POSSIBILE TRADUZIONE: ""mostra/nascondi o modifica o commuta o cambia""
La traduzione dipende molto dal contesto. Es: toggle menu= mostra/nascondi il menu; mentre toggle audio=attiva/disattiva audio; toggle loop=attiva/disattiva riproduzione automatica. 
Per situazioni in cui serve utilizzare un termine compatto utilizzare ""commutare"""
token,token,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
toolbar,"barra degli strumenti",noun,
tooltip,tooltip,noun,"Un tooltip è  piccola finestra che viene visualizzata posizionando il puntatore del mouse in corrispondenza di una scritta o di un’icona, e che contiene informazioni relative all’oggetto selezionato. Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
top,"in alto",adverb,
"top menu","menu in alto",expression,
"top toolbar","barra degli strumenti in alto",expression,
topbar,"barra superiore",expression,
topic,argomento,noun,"Nel caso il contesto sia un forum lasciare il termine topic invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
trackback,trackback,noun,"Lasciare invariato. Declinare al maschile.Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
transient,transient,noun,"QUANDO USATO in un contesto di sviluppo/tecnico. Lasciare invariato. Declinare al maschile. Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
trash,cestino,noun,
trash,cestina,verb,
trial,"periodo di prova",noun,
trigger,trigger,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
"two-factor authentication","autenticazione a due fattori",expression,
"ultra black","nero accentuato",noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 950."
"ultra bold","grassetto accentuato",noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 800."
"ultra light",chiarissimo,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 200."
ultra-black,"nero accentuato",noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 950."
ultra-bold,"grassetto accentuato",noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 800."
ultra-light,chiarissimo,noun,"Quando riferito al peso (spessore) del font. Nelle specifiche OpenType corrisponde al peso 200."
unban,"togli il ban",verb,
unbanned,riammesso,adjective,
unsticky,"non in evidenza",noun,
untrash,ripristinare,noun,
unwrap,separa,verb,"in particolar modo se riferito all'azione di togliere un blocco dall'interno di un altro blocco"
update,aggiorna,verb,
update,aggiornamento,noun,
upload,carica,verb,
upload,upload,noun,"Lasciare invariato. Declinare al maschile. Lasciare invariato. In italiano non si riportano le s del plurale. ATTENZIONE: quando si riferisce al nome della cartella conserva la ""s"" del nome della cartella"
uploaded,caricato,adjective,
uploader,uploader,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
URI,URI,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale. "
URL,URL,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
user,utente,noun,
"user agent","user agent",noun,
username,"nome utente",noun,
valid,valido,adjective,
video,video,noun,
view,visualizza,verb,
viewport,viewport,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
warning,attenzione,noun,"se fa parte di un elenco di tipologie di errore (error, warning,..) tradurre coerentemente ciascun termine"
website,"sito web",noun,"""web"" dovrebbe sempre essere minuscolo per l'Accademia della Crusca"
whitelist,whitelist,noun,
whitelist,"aggiungi in whitelist",verb,
whitelisted,"in whitelist",adjective,
widget,widget,noun,"A self-contained area of a web page that performs a specific function. For example, you can use a widget to display your Twitter feed in your site’s sidebar. More info: http://en.support.wordpress.com/widgets/"
widgets,widget,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
width,larghezza,noun,"in alcuni contesti potrebbe riferirsi allo spessore"
working,"elaborazione in corso",expression,
workshop,workshop,noun,"Lasciare invariato. Declinare al maschile. In italiano non si riportano le s del plurale."
wrap,wrap,verb,"ALTRA POSSIBILE TRADUZIONE: in contesti non tecnici racchiudere"
wrapper,wrapper,noun,"Termine tecnico si usa come nell'es. ""La funzionalità è un wrapper di quella originale"" ALTRA POSSIBILE TRADUZIONE: in contesti non tecnici contenitore, involucro.
Lasciare invariato. Declinare al maschile.  In italiano non si riportano le s del plurale."
XML-RPC,XML-RPC,noun,"More info: http://codex.wordpress.org/XML-RPC_Support"
"Y/m/d g:i:s a","d/m/Y H:i:s",expression,"Il formato delle date e degli orari va localizzato."
"you do not have permission","non hai i permessi per",expression,
"you don't have permission","non hai i permessi per",expression,
